name,lat,lon,説明,住所
009-2 第十小学校北側フェンス,35.6662044444444,139.344215833333,ポスター掲示場,大和田町７－５－１
009-3 第十小学校南東側フェンス,35.6650561111111,139.343917777778,ポスター掲示場,大和田町７－５－１
009-4 西花田原公園東側（入口沿い）,35.668735,139.346181666667,ポスター掲示場,富士見町２１
009-5 大和田七丁目アパート１号棟前駐車場フェンス,35.6675016666667,139.343951388889,ポスター掲示場,大和田町７－６－１
009-6 八王子郵便局北側,35.6670966666667,139.340786111111,ポスター掲示場,大和田町７－２１－１
009-7 富士見町緑地,35.6682222222222,139.350956111111,ポスター掲示場,富士見町４－８
009-8 大和田市民センター東側植込,35.6630644444444,139.352109722222,ポスター掲示場,大和田町５－９－１
009-9 ひよどり山中学校南門横フェンス,35.6753975,139.338874722222,ポスター掲示場,暁町３－１－１
010-1 ひよどり公園北側フェンス,35.6743502777778,139.333632777778,ポスター掲示場,暁町２－１３
010-2 中田遺跡公園南側,35.6737580555556,139.32386,ポスター掲示場,中野山王３－１２
010-3 清水小学校東側,35.6759216666667,139.320540833333,ポスター掲示場,中野山王３－２５－１
010-4 信用土地（株）西側コンクリート塀,35.6712458333333,139.328332777778,ポスター掲示場,中野山王１－６－７先
010-5 中野北小学校北側フェンス,35.6746936111111,139.326591388889,ポスター掲示場,中野山王３－１－１
010-6 中野北小学校南側フェンス,35.6736530555556,139.327289722222,ポスター掲示場,中野山王３－１－１
010-7 中田遺跡公園北側,35.6745475,139.324050555556,ポスター掲示場,中野山王３－１２
011-1 北の原公園北側,35.6676505555556,139.355100277778,ポスター掲示場,大和田町４－２５
011-2 大和田小学校北側フェンス,35.6660663888889,139.354383333333,ポスター掲示場,大和田町４－１９－１
011-3 大和田小学校南東側フェンス,35.6648741666667,139.355143333333,ポスター掲示場,大和田町４－１９－１
011-4 大和台公園北側フェンス,35.6681936111111,139.356368333333,ポスター掲示場,大和田町４－３２－８
011-5 石川道公園南側,35.6683808333333,139.352630555556,ポスター掲示場,大和田町５－４０
011-6 南原公園東南,35.6624183333333,139.358142777778,ポスター掲示場,大和田町２－８
011-7 大和田公園西側,35.6648433333333,139.359080833333,ポスター掲示場,大和田町２－２０
012-1 富士森公園こども広場北側,35.6530855555556,139.323298055556,ポスター掲示場,台町２－２
012-2 富士森公園東側,35.6512166666667,139.3253125,ポスター掲示場,台町２－２
012-3 野球場西側植込,35.6521194444444,139.320950833333,ポスター掲示場,台町２－２
012-4 八王子市教育センター正門横フェンス,35.6494686111111,139.319868055556,ポスター掲示場,散田町２－３７－１
012-5 第七中学校南面フェンス,35.6502502777778,139.316438055556,ポスター掲示場,散田町２－２－１
012-6 朝日ヶ丘富士見公園,35.6479147222222,139.313681944444,ポスター掲示場,散田町２－６０－１２
012-7 散田南公園北側フェンス,35.6480919444444,139.310596666667,ポスター掲示場,散田町２－６８－８先
013-1 谷野北公園北側,35.6847827777778,139.321259722222,ポスター掲示場,みつい台２－４７
013-2 左入公園南側,35.6796711111111,139.328651944444,ポスター掲示場,みつい台１－６
013-3 谷野東公園,35.6816822222222,139.330111111111,ポスター掲示場,みつい台１－１４
013-4 谷野南公園東側,35.6817063888889,139.325403611111,ポスター掲示場,みつい台２－８
013-5 中野市民センター北側植込,35.6817963888889,139.31879,ポスター掲示場,中野町２７２６－７
013-6 工学院大学南側フェンス,35.6826780555556,139.317608611111,ポスター掲示場,中野町２６６５－１
013-7 甲の原体育館東側植込,35.6808833333333,139.318771388889,ポスター掲示場,中野町２７２６－８
013-8 甲の原北公園北側,35.6816780555556,139.320807777778,ポスター掲示場,中野町２６３４－１１先
014-1 元本郷公園西側,35.6640113888889,139.312590277778,ポスター掲示場,元本郷町４－９
014-2 商工会議所駐車場北フェンス,35.6643577777778,139.328798333333,ポスター掲示場,大横町１１－１
014-3 東平岡公園北側,35.6645722222222,139.3263175,ポスター掲示場,平岡町３１
014-4 市営住宅元本郷団地４号棟北側,35.6645827777778,139.319655833333,ポスター掲示場,元本郷町２－１２
014-5 コンビニ向かい側民家塀,35.6641905555556,139.31446,ポスター掲示場,元本郷町４－１１－１
014-6 市営住宅元本郷団地１号棟北側駐車場前,35.6648388888889,139.317004166667,ポスター掲示場,元本郷町３－１４－１
014-7 八王子市役所来庁者駐車場東側,35.6665713888889,139.315068888889,ポスター掲示場,元本郷町４－２１
015-1 緑町霊園北側フェンス,35.64955,139.324430277778,ポスター掲示場,緑町２２２
015-2 第六中学校東側フェンス,35.6529791666667,139.330733888889,ポスター掲示場,上野町９７
015-3 第六中学校西側フェンス,35.6529355555556,139.329254166667,ポスター掲示場,上野町９７
015-4 上野町公園西側フェンス,35.6535047222222,139.327793055556,ポスター掲示場,上野町２７
015-5 八王子実践高校北側フェンス,35.6522511111111,139.329860277778,ポスター掲示場,台町１－５
015-6 八王子実践高校体育館南側フェンス,35.6501233333333,139.327909722222,ポスター掲示場,台町１－１２
015-7 緑町もみじ公園東側植込,35.6474958333333,139.329097222222,ポスター掲示場,緑町１２０－３
030-1 都立陵南公園西側植込,35.648175,139.292253611111,ポスター掲示場,東浅川町３１
030-2 長泉寺東側市道フェンス,35.6530066666667,139.289445555556,ポスター掲示場,長房町１４４２先
030-3 長房町消防団機具置場フェンス,35.6517013888889,139.286003888889,ポスター掲示場,長房町１２８９－２８
030-4 原宿町会館前フェンス,35.646355,139.288925277778,ポスター掲示場,東浅川町２６９
030-5 都立陵南公園北側フェンス,35.6498952777778,139.289543611111,ポスター掲示場,長房町１３６９先
